time,cost
0.01,-0.01684722449770701
54.509999999997724,-0.06445509878374336
109.01000000001886,-0.17064509237519299
163.50999999999627,-0.27029005004272644
218.0099999999467,-0.3076379522053007
272.50999999989716,-0.3117922777812465
327.0099999998476,-0.3140038902416993
381.509999999798,-0.30227412849509183
436.00999999974846,-0.2964615048550447
490.5099999996989,-0.3839810102711355
545.0099999996494,-0.5169428963810415
599.5099999995998,-0.49714853802465986
654.0099999995502,-0.5089938396657978
708.5099999995007,-0.5219965472205639
763.0099999994511,-0.5240423787374779
817.5099999994015,-0.5557279682696981
872.009999999352,-0.6455000308288281
926.5099999993024,-0.6611592218649953
981.0099999992528,-0.7172762742187918
1035.5099999992033,-0.701003139949454
1090.0099999991537,-0.7024814764943323
1144.5099999991041,-0.7175180375164488
1199.0099999990546,-0.7343373193816441
1253.509999999005,-0.7418216638247079
1308.0099999989554,-0.7434708136319
1362.5099999989059,-0.7428537832543015
