time,cost
0.0,-0.09160066876711218
49.6,-0.10438077755253923
99.0,-0.22884790397893137
148.4,-0.22135745687846037
198.20000000000002,-0.25627813506007124
248.0,-0.3189744192358079
298.0,-0.3473488722720536
347.6,-0.3510020079961844
397.1,-0.366264011643543
446.7,-0.357006621452204
496.6,-0.31377611313749204
546.3000000000001,-0.3773676148803684
595.9,-0.39735246132355045
645.4,-0.4227403840727705
695.2,-0.42862811069333945
744.8000000000001,-0.4554919533069988
794.3000000000001,-0.4354238260665583
845.0,-0.4295735169152204
894.4,-0.4696928105534037
943.9,-0.4842308006064386
993.5,-0.4969644149256399
1043.2,-0.507340455121139
1093.1000000000001,-0.5074524568291904
1143.1000000000001,-0.5083278505841072
1193.1000000000001,-0.4768274085726169
1242.7,-0.46054823237517883
