time,cost
0.0,-0.014429944331165899
38.5,-0.01738092393158546
77.0,-0.04281576752582321
115.5,-0.10288106185780457
154.1,-0.10255572828406788
192.8,-0.1667678098218912
231.4,-0.2304391374302154
270.2,-0.24497407245449973
309.0,-0.2629353780082401
347.8,-0.2836387886912367
386.6,-0.30588373293741944
425.6,-0.30574138079241625
464.8,-0.328170217750923
503.6,-0.3300497179706185
542.5,-0.33082624059690674
581.3000000000001,-0.3307041552369482
619.9,-0.3300346067434113
658.5,-0.3408396751918064
697.2,-0.3745157553993464
735.7,-0.3751492322131175
774.3000000000001,-0.40372788751602645
812.9,-0.424265740018773
851.6,-0.4343621450681181
890.1,-0.44703430173620734
928.7,-0.46347528857639053
967.3000000000001,-0.45380569676185256
